,k01,k12,k13,k14,k21,k31,k41,x1,x2,x3,x4,MRAE
True,0.805,0.654,0.68,0.501,0.865,0.615,0.439,0.585,0.115,0.341,0.628,
Estimated,0.805,0.654,0.68,0.501,0.865,0.615,0.439,0.575,0.119,0.342,0.627,0.005
,,,,,,,,,,,,
,k01,k12,k13,k14,k21,k31,k41,x1,x2,x3,x4,MRAE
True,0.332,0.594,0.443,0.208,0.339,0.556,0.573,0.559,0.623,0.622,0.445,
Estimated,0.332,0.594,0.443,0.208,0.339,0.556,0.573,0.556,0.621,0.622,0.447,0.001
,,,,,,,,,,,,
,k01,k12,k13,k14,k21,k31,k41,x1,x2,x3,x4,MRAE
True,0.817,0.394,0.449,0.814,0.745,0.663,0.18,0.836,0.671,0.899,0.22,
Estimated,0.817,0.394,0.449,0.814,0.745,0.663,0.18,0.825,0.675,0.9,0.22,0.002
,,,,,,,,,,,,
