,muN,muEE,muLE,muLL,muM,muP,muPE,muPL,deltaNE,deltaEL,deltaLM,rhoE,rhoP,n,e,s,m,p,MRAE
True,0.388,0.45,0.658,0.148,0.633,0.637,0.268,0.203,0.352,0.391,0.556,0.451,0.891,0.182,0.267,0.229,0.622,0.303,
Estimated,0.388,0.445,-0.532,0.172,-0.317,0.644,0.258,0.012,0.353,0.391,0.652,0.447,0.851,0.182,0.267,-0.126,0.896,0.301,0.372
,,,,,,,,,,,,,,,,,,,
,muN,muEE,muLE,muLL,muM,muP,muPE,muPL,deltaNE,deltaEL,deltaLM,rhoE,rhoP,n,e,s,m,p,MRAE
True,0.473,0.296,0.227,0.188,0.625,0.211,0.257,0.395,0.757,0.178,0.77,0.177,0.881,0.475,0.881,0.584,0.691,0.131,
Estimated,0.473,0.271,0.943,-0.267,0.442,0.161,-0.106,-0.0,0.76,0.182,-1.833,0.03,-3.704,0.474,0.951,-0.031,1.108,0.131,1.099
,,,,,,,,,,,,,,,,,,,
,muN,muEE,muLE,muLL,muM,muP,muPE,muPL,deltaNE,deltaEL,deltaLM,rhoE,rhoP,n,e,s,m,p,MRAE
True,0.326,0.196,0.337,0.195,0.354,0.431,0.151,0.654,0.553,0.312,0.519,0.175,0.561,0.843,0.355,0.634,0.205,0.673,
Estimated,0.325,0.179,1.2,-0.015,0.138,0.481,0.154,0.002,0.556,0.317,-0.912,0.165,0.016,0.842,0.306,0.032,0.678,0.672,0.705
,,,,,,,,,,,,,,,,,,,
