,lm,d,beta,a,k,uu,c,q,b,h,x,yy,vv,w,z,MRAE
True,0.382,0.677,0.61,0.75,0.881,0.812,0.712,0.659,0.368,0.218,0.15,0.294,0.446,0.518,0.718,
Estimated,0.379,0.673,0.596,0.74,1.112,0.95,0.681,0.666,0.368,0.217,0.15,0.302,0.429,0.518,0.718,0.041
,,,,,,,,,,,,,,,,
,lm,d,beta,a,k,uu,c,q,b,h,x,yy,vv,w,z,MRAE
True,0.867,0.194,0.186,0.572,0.696,0.779,0.849,0.887,0.42,0.404,0.218,0.648,0.625,0.79,0.178,
Estimated,0.867,0.194,0.185,0.572,0.721,0.797,0.851,0.887,0.42,0.404,0.218,0.647,0.624,0.79,0.178,0.005
,,,,,,,,,,,,,,,,
,lm,d,beta,a,k,uu,c,q,b,h,x,yy,vv,w,z,MRAE
True,0.498,0.565,0.293,0.235,0.788,0.147,0.476,0.193,0.466,0.884,0.439,0.786,0.194,0.317,0.423,
Estimated,0.503,0.582,0.292,0.218,0.743,0.139,0.433,0.203,0.456,0.884,0.531,0.807,0.174,0.308,0.419,0.051
,,,,,,,,,,,,,,,,
,lm,d,beta,a,k,uu,c,q,b,h,x,yy,vv,w,z,MRAE
True,0.42,0.637,0.376,0.671,0.611,0.419,0.445,0.592,0.156,0.758,0.623,0.681,0.53,0.188,0.424,
Estimated,0.427,0.64,0.394,0.681,0.585,0.4,0.442,0.592,0.156,0.758,0.623,0.686,0.527,0.188,0.424,0.013
,,,,,,,,,,,,,,,,
,lm,d,beta,a,k,uu,c,q,b,h,x,yy,vv,w,z,MRAE
True,0.424,0.357,0.124,0.69,0.188,0.585,0.663,0.608,0.867,0.183,0.794,0.123,0.528,0.423,0.519,
Estimated,0.129,0.108,-0.208,0.628,0.114,0.27,0.265,0.78,0.855,0.18,0.794,0.37,0.275,0.423,0.514,0.567
,,,,,,,,,,,,,,,,
,lm,d,beta,a,k,uu,c,q,b,h,x,yy,vv,w,z,MRAE
True,0.392,0.252,0.115,0.515,0.774,0.399,0.278,0.164,0.168,0.277,0.18,0.312,0.153,0.152,0.785,
Estimated,0.392,0.262,0.089,0.488,0.752,0.532,0.227,0.167,0.168,0.277,0.18,0.378,0.076,0.152,0.785,0.107
,,,,,,,,,,,,,,,,
,lm,d,beta,a,k,uu,c,q,b,h,x,yy,vv,w,z,MRAE
True,0.23,0.548,0.719,0.465,0.223,0.26,0.446,0.523,0.38,0.725,0.701,0.842,0.123,0.817,0.414,
Estimated,0.203,0.551,0.381,0.437,0.32,0.399,0.43,0.494,0.387,0.692,0.603,0.797,0.112,0.829,0.444,0.143
,,,,,,,,,,,,,,,,
,lm,d,beta,a,k,uu,c,q,b,h,x,yy,vv,w,z,MRAE
True,0.803,0.653,0.89,0.707,0.392,0.501,0.401,0.392,0.309,0.497,0.645,0.322,0.52,0.194,0.228,
Estimated,0.816,0.665,0.966,0.68,0.362,0.522,0.395,0.393,0.312,0.501,0.783,0.345,0.488,0.191,0.225,0.046
,,,,,,,,,,,,,,,,
,lm,d,beta,a,k,uu,c,q,b,h,x,yy,vv,w,z,MRAE
True,0.137,0.877,0.103,0.243,0.59,0.165,0.806,0.676,0.873,0.506,0.34,0.54,0.845,0.517,0.314,
Estimated,0.138,0.77,0.183,0.344,0.565,0.074,1.443,0.671,0.872,0.506,-0.437,0.323,1.116,0.487,0.369,0.397
,,,,,,,,,,,,,,,,
,lm,d,beta,a,k,uu,c,q,b,h,x,yy,vv,w,z,MRAE
True,0.802,0.398,0.101,0.298,0.355,0.787,0.467,0.456,0.369,0.805,0.856,0.894,0.401,0.873,0.734,
Estimated,0.804,0.396,0.099,0.313,0.349,0.674,0.489,0.482,0.357,0.816,0.856,0.847,0.449,0.873,0.734,0.038
,,,,,,,,,,,,,,,,
