,a12,a13,a21,a31,a01,x1,x2,x3,MRAE
True,0.397,0.258,0.468,0.136,0.74,0.162,0.515,0.345,
Estimated,0.385,13.922,0.433,-3.804,0.474,0.162,0.515,-0.043,10.439
,,,,,,,,,
,a12,a13,a21,a31,a01,x1,x2,x3,MRAE
True,0.562,0.868,0.616,0.128,0.444,0.508,0.529,0.645,
Estimated,0.501,7.5,0.554,-5.202,-0.032,0.508,0.529,-0.319,6.507
,,,,,,,,,
,a12,a13,a21,a31,a01,x1,x2,x3,MRAE
True,0.322,0.203,0.414,0.865,0.25,0.823,0.535,0.466,
Estimated,0.315,10.767,0.409,-4.661,0.384,0.823,0.535,-0.403,7.608
,,,,,,,,,
,a12,a13,a21,a31,a01,x1,x2,x3,MRAE
True,0.806,0.467,0.679,0.419,0.823,0.652,0.66,0.362,
Estimated,0.776,7.131,0.647,-1.999,0.667,0.652,0.66,-0.212,2.737
,,,,,,,,,
,a12,a13,a21,a31,a01,x1,x2,x3,MRAE
True,0.705,0.609,0.292,0.228,0.737,0.867,0.467,0.573,
Estimated,0.674,16.204,0.275,-6.303,0.367,0.867,0.467,-0.348,7.058
,,,,,,,,,
,a12,a13,a21,a31,a01,x1,x2,x3,MRAE
True,0.786,0.466,0.861,0.561,0.757,0.827,0.752,0.228,
Estimated,0.771,8.034,0.847,-1.7,0.795,0.827,0.752,-0.216,2.788
,,,,,,,,,
,a12,a13,a21,a31,a01,x1,x2,x3,MRAE
True,0.603,0.419,0.15,0.439,0.307,0.779,0.127,0.867,
Estimated,0.586,23.795,0.147,-15.7,0.052,0.779,0.127,-0.521,11.879
,,,,,,,,,
,a12,a13,a21,a31,a01,x1,x2,x3,MRAE
True,0.384,0.385,0.113,0.248,0.421,0.843,0.18,0.856,
Estimated,0.375,-19.928,0.111,13.466,0.076,0.843,0.18,-0.561,13.572
,,,,,,,,,
,a12,a13,a21,a31,a01,x1,x2,x3,MRAE
True,0.796,0.463,0.361,0.286,0.592,0.126,0.112,0.443,
Estimated,0.785,14.947,0.352,-9.463,0.045,0.126,0.112,-0.073,8.438
,,,,,,,,,
,a12,a13,a21,a31,a01,x1,x2,x3,MRAE
True,0.154,0.302,0.277,0.303,0.205,0.11,0.192,0.595,
Estimated,0.142,4.504,0.257,-3.157,-0.102,0.11,0.192,-0.052,3.509
,,,,,,,,,
