,g,a,b,V,R,MRAE
True,0.119,0.374,0.598,0.323,0.268,
Estimated,-11.315,-8204443648.0,-3244676.0,19.7,2528.586,4388490114.659
,,,,,,
,g,a,b,V,R,MRAE
True,0.193,0.562,0.656,0.638,0.859,
Estimated,-0.818,-5854608.0,-8993.188,12.58,651.006,2086388.781
,,,,,,
,g,a,b,V,R,MRAE
True,0.102,0.618,0.58,0.571,0.87,
Estimated,-795.905,-36622246608896.0,-549298176.0,58.499,66670.978,11852049174051.377
,,,,,,
,g,a,b,V,R,MRAE
True,0.113,0.657,0.751,0.508,0.367,
Estimated,347.883,-516483448832.0,-189803008.0,-521629.297,160990.413,157275634619.789
,,,,,,
,g,a,b,V,R,MRAE
True,0.733,0.178,0.454,0.516,0.655,
Estimated,-15782.219,-766058496.0,-165172992.0,2.818,4.638,933507624.652
,,,,,,
,g,a,b,V,R,MRAE
True,0.173,0.282,0.428,0.599,0.81,
Estimated,0.173,0.265,0.426,0.602,0.78,0.022
,,,,,,
,g,a,b,V,R,MRAE
True,0.595,0.207,0.884,0.797,0.502,
Estimated,24662.938,-5440069632.0,-360111104.0,-38094.507,15.1,5337596880.844
,,,,,,
,g,a,b,V,R,MRAE
True,0.838,0.533,0.839,0.764,0.875,
Estimated,0.84,0.537,0.847,0.764,0.87,0.005
,,,,,,
,g,a,b,V,R,MRAE
True,0.836,0.129,0.24,0.411,0.862,
Estimated,0.842,0.157,0.265,0.411,0.853,0.068
,,,,,,
,g,a,b,V,R,MRAE
True,0.34,0.228,0.809,0.457,0.826,
Estimated,1271.961,252133632.0,5084848.0,202528.889,49.594,222516315.902
,,,,,,
