name,has_result,total_runs,0e+00,1e-08,1e-06,1e-04,1e-02
biohydrogenation,50,50,3.5 ± 1.6,3.1 ± 2.1,3.2 ± 1.1,4.5 ± 1.9,2.6 ± 1.3
crauste,0,50,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
daisy_mamil3,50,50,5.3 ± 1.9,5.2 ± 0.9,4.1 ± 1.2,3.3 ± 1.6,4.7 ± 2.9
daisy_mamil4,50,50,8.1 ± 2.8,8.6 ± 2.0,8.6 ± 2.8,3.4 ± 1.4,6.7 ± 7.0
fitzhugh_nagumo,50,50,5.9 ± 2.1,4.8 ± 1.1,5.5 ± 1.3,5.5 ± 2.8,3.5 ± 1.8
harmonic,50,50,1.1 ± 0.3,1.4 ± 0.5,3.5 ± 0.5,4.0 ± 0.0,4.0 ± 0.5
hiv,50,50,16.9 ± 3.9,16.7 ± 2.8,15.0 ± 4.4,12.3 ± 3.1,8.3 ± 3.6
lotka_volterra,50,50,7.6 ± 2.1,8.7 ± 1.7,7.6 ± 2.1,6.3 ± 2.2,5.8 ± 3.0
seir,50,50,9.8 ± 2.2,10.5 ± 3.4,8.0 ± 4.8,6.4 ± 3.7,4.9 ± 1.9
vanderpol,50,50,1.1 ± 0.3,1.2 ± 0.4,3.4 ± 0.5,4.1 ± 0.3,3.9 ± 0.3
