Run,True_R,True_VV,True_a,True_b,True_g,Est_R,Est_VV,Est_a,Est_b,Est_g,MedianRelErr,MeanRelErr,RMSE,Success
9,0.598,0.644,0.379,0.692,0.184,0.5978717932624465,0.643982625332623,0.37916922444417334,0.6923075310776012,0.18407285749623642,0.0003959646534588183,0.0003056496102487189,0.00017044608389445542,True
6,0.505,0.299,0.464,0.421,0.317,0.5051126292849102,0.29900419757314806,0.46398117146429546,0.4209012540809097,0.31694327681678086,0.00017893748649571868,0.00013822681941378978,7.214674663210088e-05,True
3,0.205,0.434,0.334,0.222,0.157,0.20511783421676844,0.4340034490257333,0.33400188690616694,0.22193186414738236,0.15695600874707896,0.0002801990631913277,0.00023510297183917112,6.39970055241974e-05,True
5,0.542,0.425,0.574,0.817,0.32,0.5419190878329735,0.42499848152731245,0.574000374498539,0.8170982237205959,0.32003298514963546,0.00010307859261080021,7.536264384415021e-05,5.8796503579007355e-05,True
1,0.852,0.794,0.854,0.607,0.502,0.852088795735228,0.7940004119616237,0.8539775698543706,0.6069244782508009,0.5019690052668367,6.174249634115286e-05,6.343290639111826e-05,5.486742535599126e-05,True
4,0.538,0.874,0.406,0.816,0.583,0.5380496650942331,0.8739947819409859,0.4060235443167316,0.8159650119837039,0.5829852325149323,4.2877470951089666e-05,4.489663654286414e-05,2.9968064585399005e-05,True
10,0.803,0.641,0.264,0.373,0.668,0.8030372985969592,0.6409983775193179,0.26399357568128334,0.372972400734279,0.6679866720615883,2.433454059344334e-05,3.345188940471828e-05,2.1791939153270172e-05,True
2,0.461,0.896,0.66,0.874,0.701,0.46097097529130454,0.8960040658766544,0.6599737765958569,0.8740160577651337,0.7010092183220071,1.8372728985918068e-05,2.7750707239145086e-05,1.943945099223731e-05,True
8,0.457,0.303,0.79,0.139,0.839,0.4570094812657989,0.3029996772720525,0.7899929245039736,0.13898033264275353,0.8389916204714913,9.987519080606143e-06,3.6449496589799287e-05,1.0927786945069803e-05,True
7,0.367,0.7,0.398,0.52,0.348,0.3670104589707849,0.6999998407670044,0.3980038426070114,0.5199950610417331,0.3479967792318192,9.497996667154127e-06,1.1426780567425236e-05,5.638221529993362e-06,True
