Run,True_a,True_b,True_beta,True_c,True_d,True_h,True_k,True_lm,True_q,True_uu,True_vv,True_w,True_x,True_yy,True_z,Est_a,Est_b,Est_beta,Est_c,Est_d,Est_h,Est_k,Est_lm,Est_q,Est_uu,Est_vv,Est_w,Est_x,Est_yy,Est_z,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
9,0.69,0.867,0.124,0.663,0.357,0.183,0.188,0.424,0.608,0.585,0.528,0.423,0.794,0.123,0.519,0.6824066526593169,0.8669608860164814,0.12448398424351625,0.6487236726866823,0.35690675120317955,0.18299586441910876,0.18136516265233468,0.42383630579412623,0.6084146228630047,0.5855559150130645,0.5252056979987297,0.4229968429805005,0.7940091697324501,0.12580030912119303,0.5189888484062929,0.0006819454983630829,0.006811950083365232,0.03529168801949637,0.004632463835345022,True
1,0.797,0.764,0.884,0.533,0.207,0.875,0.502,0.595,0.839,0.838,0.24,0.411,0.836,0.129,0.862,0.7931850928725451,0.7639271928536382,0.8842677075312586,0.5321281357549993,0.2072958029813699,0.8750761414850865,0.49976142534617346,0.5949797653035901,0.839995171656761,0.8389347969187771,0.23955634114786276,0.41099956460819204,0.835998512718918,0.12945848574392313,0.8619982050519348,0.0011155094496147744,0.0013692750658038735,0.004786583597810431,0.0012319852432165108,True
8,0.671,0.156,0.376,0.445,0.637,0.758,0.611,0.42,0.592,0.419,0.53,0.188,0.623,0.681,0.424,0.6715747508709343,0.155986624447163,0.3760335551267677,0.44563834355955667,0.6360833278898957,0.7580318566332954,0.6116626657261273,0.41961492377578047,0.5920513678769324,0.41895366134504053,0.5307484373399446,0.18799997720564426,0.6230000445169193,0.680251238920494,0.4239998927956998,0.00011059344859058393,0.0005771972883701428,0.0014390456987508106,0.00046857412298081626,True
5,0.75,0.368,0.61,0.712,0.677,0.218,0.881,0.382,0.659,0.812,0.446,0.518,0.15,0.294,0.718,0.750018875626373,0.3679729145885505,0.6098562360179565,0.7121174361189121,0.6770487970414701,0.21800910854353758,0.8824782993278529,0.3820146555808831,0.6592990444610928,0.8125742677959202,0.4461467597562364,0.5179996523161247,0.14999908632539422,0.29384453301341856,0.718000140406411,7.3601661547467e-05,0.000290361171029091,0.0016779788057354457,0.00042336095832070893,True
10,0.515,0.168,0.115,0.278,0.252,0.277,0.774,0.392,0.164,0.399,0.153,0.152,0.18,0.312,0.785,0.5152453795917483,0.16800189579292107,0.11535218198993301,0.27814007148427855,0.25187168921519704,0.27700005370642294,0.7745976339722423,0.3919867564296468,0.16398950314995878,0.39922928109612404,0.15309582010258121,0.1520000106328718,0.18000029221236788,0.3118996989950605,0.7849999445627052,0.0003214775799343529,0.00046383350086259074,0.0030624520863739447,0.00020810161095950147,True
3,0.523,0.403,0.638,0.39,0.818,0.884,0.344,0.692,0.477,0.898,0.644,0.151,0.24,0.362,0.586,0.5231370548399233,0.40295570967098193,0.6381855351850083,0.3897363262104519,0.8179767019802572,0.8840084784817313,0.34417271238233554,0.6919980940929272,0.47737531690997054,0.8982053686026984,0.6438411389674797,0.15100000512041073,0.24000011473979133,0.36215895637660106,0.5859998666065298,0.00022869554866188725,0.0002389197577611249,0.0007868279035022176,0.00016097282392105858,True
2,0.457,0.161,0.809,0.629,0.228,0.657,0.826,0.34,0.452,0.228,0.148,0.149,0.298,0.132,0.826,0.45686881498930854,0.1609956067198152,0.8093107895366454,0.6288197846649959,0.2279407164543397,0.6570017877301504,0.8260592186031726,0.3399852832052694,0.452054511711394,0.22831376437329395,0.14795990051463404,0.14900001311019123,0.29800026856458256,0.1320384606070668,0.8260003675076824,0.0001206011314026075,0.0002282160213656566,0.0013761595319909889,0.00013116012498334083,True
6,0.572,0.42,0.186,0.849,0.194,0.404,0.696,0.867,0.887,0.779,0.625,0.79,0.218,0.648,0.178,0.572018543383834,0.42003336422717463,0.18601902198747208,0.848923940162594,0.1939936620507708,0.4039723930941283,0.6956703430791751,0.8669938258460326,0.8869067199975941,0.7788220264961672,0.624889402749724,0.7900029015347525,0.21800067605835383,0.6481144963022497,0.1780002941120069,7.943863613011466e-05,0.00010541231938465127,0.00047364500118516137,0.00011040649874088803,True
7,0.235,0.466,0.293,0.476,0.565,0.884,0.788,0.498,0.193,0.147,0.194,0.317,0.439,0.786,0.423,0.23495940384666672,0.4660078075358334,0.2930162793851017,0.47590869656847373,0.5649786470443289,0.8839949478029244,0.7878394223156308,0.49796995054527055,0.1929816671572843,0.1469957064238943,0.1938398401426404,0.31699998184390604,0.43900021354394814,0.7861602583623841,0.422999938113302,5.5561041302853965e-05,0.0001265900094228424,0.0008255662750494486,7.710100579933625e-05,True
4,0.512,0.207,0.291,0.37,0.327,0.177,0.394,0.482,0.876,0.465,0.627,0.418,0.375,0.573,0.899,0.5119790441488322,0.20698580973522196,0.29091704733045726,0.3700276824486592,0.32702979262943976,0.1770024240797231,0.39393623871813993,0.48200232995466813,0.8761160276431659,0.4648965673596872,0.6271081435428122,0.4179998706617747,0.3750003567513705,0.5728931728629689,0.8990001800057759,7.481742880863304e-05,9.707262823450443e-05,0.0002850607200780896,6.35192075235136e-05,True
