Run,True_eA,True_eB,True_eC,True_k1,True_k2,True_xA,True_xB,True_xC,Est_eA,Est_eB,Est_eC,Est_k1,Est_k2,Est_xA,Est_xB,Est_xC,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
4,0.749,0.793,0.379,0.597,0.499,0.602,0.421,0.433,0.7490000430717281,0.7930191060203357,0.37900004758611516,0.5967309953245639,0.49918124382344176,0.6021415937629067,0.42085793412015504,0.4329985618904681,0.00012964946419358178,0.00017675750964311665,0.0004505940962078946,0.00013500530505510162,True
6,0.394,0.884,0.374,0.82,0.146,0.177,0.791,0.553,0.3939999856802526,0.8839998735022006,0.3740000103727441,0.8201710175873108,0.14599837160609044,0.1770022501347153,0.7909896563789433,0.5530015389039893,6.968105566206358e-06,3.106133558218357e-05,0.00020855803330592946,6.058475981939141e-05,True
9,0.212,0.339,0.282,0.48,0.756,0.221,0.364,0.751,0.21200000043296513,0.3389790320973153,0.2820000127005814,0.4800303272694631,0.7558649612116808,0.22093982545255134,0.3640551256123702,0.7510035526167685,6.251701584523335e-05,9.152017156700506e-05,0.00027228302012971,5.7301070140580477e-05,True
7,0.544,0.626,0.761,0.706,0.352,0.514,0.488,0.821,0.5439999859215778,0.6260050875575726,0.76100001168541,0.7059199666036293,0.35201595094386795,0.5140161624619856,0.4879820514246439,0.8210012349733291,1.9785783672579196e-05,2.9571729118754683e-05,0.00011336175123319815,3.0146646611967345e-05,True
8,0.366,0.718,0.18,0.68,0.131,0.273,0.823,0.134,0.36600000549000544,0.7180276836753053,0.18000000436949298,0.6799762970369163,0.13100533804439105,0.2730011790697151,0.8229677631230325,0.13399996416606685,1.9588117668924347e-05,1.974474611220845e-05,4.074843046595435e-05,1.731083053535748e-05,True
3,0.459,0.213,0.554,0.717,0.689,0.793,0.453,0.489,0.4589999872100039,0.21299100743139182,0.5539999842112122,0.7169665003371952,0.6890257423588482,0.7930110671412102,0.45299183229997736,0.48899707653174584,1.59931423773609e-05,2.0540455309006944e-05,4.6721984385980365e-05,1.6060443467581784e-05,True
5,0.24,0.801,0.193,0.269,0.148,0.835,0.196,0.368,0.24000001437874416,0.8009660346414132,0.19300000006541024,0.2690072311672502,0.1479992734341203,0.8350254101333779,0.19600053488149177,0.36799995158078364,3.819108059829354e-06,1.3443336767453439e-05,4.240369361647448e-05,1.521687709985878e-05,True
10,0.682,0.416,0.752,0.155,0.665,0.349,0.675,0.369,0.6819999895082346,0.41600535144554596,0.7520000039142338,0.15498815451598244,0.6649765037454967,0.3489819702859459,0.6750204160502126,0.3690005021671363,2.1555026054030613e-05,2.5988473804318285e-05,7.642247753263601e-05,1.3523892880343628e-05,True
2,0.736,0.682,0.376,0.832,0.685,0.332,0.562,0.723,0.736000000497337,0.6820009428569692,0.3759999937401186,0.831976883296225,0.6850086798279321,0.3319997512608475,0.5620025542339352,0.7229968923905556,2.84035161182886e-06,6.430990438934568e-06,2.778449972953418e-05,8.851932300829675e-06,True
1,0.446,0.526,0.386,0.819,0.248,0.361,0.353,0.458,0.44599996376056195,0.5260013124086698,0.38600001111825805,0.8190077468154897,0.2480015235954929,0.36100397174493287,0.35299532074834095,0.45800015674679706,4.319301864978099e-06,5.3509386109602e-06,1.3255670422193707e-05,3.5663894618055665e-06,True
