Run,True_k01,True_k12,True_k13,True_k14,True_k21,True_k31,True_k41,True_x1,True_x2,True_x3,True_x4,Est_k01,Est_k12,Est_k13,Est_k14,Est_k21,Est_k31,Est_k41,Est_x1,Est_x2,Est_x3,Est_x4,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
4,0.779,0.127,0.867,0.384,0.385,0.113,0.248,0.421,0.843,0.18,0.856,-0.8779835739446649,1.6293738918408573,-1.8213736881355844,0.9649122685803461,-10.341694912624462,0.8760389640432772,1.8027782034654705,0.4394353113920439,-3.309421046938559,-0.18781335204688962,1.2369797889380525,3.100777033605057,6.082886586276925,27.861545227596004,3.6699325504141838,False
1,0.25,0.823,0.535,0.466,0.806,0.467,0.679,0.419,0.823,0.652,0.66,0.03082578339304335,-3.374609503770798,-0.7300392043278144,-5.25007131957597,7.070195097498326,-2.7180526668197413,6.519513107422002,0.45363127337384973,-1.035786307475677,1.9252956582973373,-0.6036457114513104,2.364559260425821,4.546403492734413,12.266247466901223,3.5943443029508306,False
9,0.875,0.824,0.337,0.894,0.3,0.185,0.861,0.287,0.652,0.147,0.685,0.32153448204771273,-5.412556134881193,0.5052428957023342,-7.209755659569319,0.2878927398000901,0.9379524697023527,6.63852968109158,0.27631574504227097,-0.018298343909051003,1.22472517456146,-0.3079557820286266,1.4495704847133235,3.4938146757355075,9.06460364605069,3.5858803654487046,False
8,0.33,0.665,0.432,0.388,0.763,0.84,0.137,0.286,0.379,0.752,0.888,-0.28374509896802474,-2.0063529245301797,-1.9709221832869068,0.4289273265279331,-1.5233245356885579,-9.273243843422998,-1.5583516376175093,0.2845870533593018,0.251936204034487,1.5317730089408494,0.03105275314347913,1.8598336332364387,3.7543428420960017,12.37482947166065,3.3713535100517436,False
6,0.303,0.205,0.11,0.192,0.595,0.879,0.892,0.427,0.23,0.611,0.492,0.4527573475687666,-1.6013423457867475,0.6837783611880854,-1.2390235412734156,-2.13211420570099,3.940429193453437,-7.764825301306453,0.30913847543450534,0.27351972626150534,-0.1189350852450895,1.2192208009213377,3.4828546000607927,3.8985705641587454,9.704961100119341,2.9922614652268282,False
7,0.892,0.152,0.727,0.331,0.293,0.63,0.297,0.633,0.514,0.439,0.544,1.225733910858702,0.925995825828787,9.010119766196144,0.1710628937048603,0.36467575957498694,-3.72117806420873,-0.16433867904908675,0.6327227838759163,0.31264143664136373,-0.29917061111295096,1.2881014676010476,1.3678335801489845,2.6808240475908494,11.393562264368837,2.854596776677749,False
2,0.362,0.705,0.609,0.292,0.228,0.737,0.867,0.467,0.573,0.786,0.466,-0.25091728523346396,4.313712230074446,1.1114833532655668,-0.3337899543749117,-7.56165988604291,2.4004368553788558,-0.04468973506096394,0.4671965261110769,-0.8133558008170263,0.9436805049381777,0.3054374495686518,1.6931416719156462,4.565355328105155,34.16517493878469,2.701720016947567,False
3,0.861,0.561,0.757,0.827,0.752,0.228,0.603,0.419,0.15,0.439,0.307,0.15957771689681063,1.7574230325416735,-1.544906848324028,1.4844645454662013,-2.7530228446125764,0.17051767156475564,1.8350787628142635,0.3619442886011103,-0.8429624197146822,-0.03260509709280758,0.7593707644422967,1.4735204053495006,2.0948327005907577,6.619749464764548,1.442133643200154,False
5,0.796,0.463,0.361,0.286,0.592,0.126,0.112,0.443,0.154,0.302,0.277,0.8497135350404916,3.3614239496855602,3.2480054781716405,1.0305957776478,0.6568687787390087,0.6143422954328334,2.143342328968164,0.4498006185626932,-0.003238419641725889,0.2959139148078767,0.2917757424591,1.0210286989722461,3.650951718837406,18.13698508007289,1.4041184029485072,False
10,0.805,0.318,0.403,0.399,0.699,0.29,0.237,0.459,0.344,0.771,0.29,0.5860257331005627,2.623330758396504,2.7551472012411047,-0.16879745813419908,0.7527641037882276,1.7702627849792232,-0.3126816440710621,0.425374872134755,-0.14261143540872823,0.5120967729081353,0.5319072862115645,1.4145681261881635,2.2672293398591523,7.249467793699698,1.1312575384234111,False
