cell,pre_eps,post_eps,n_pool,n_pre_reps,n_post_reps,oracle_best
flexible_arm_0_1em8,0.0001,0.0001,50,45,26,0.5119776911501235
flexible_arm_0_1em8,0.0001,0.001,50,45,26,0.5119776911501235
flexible_arm_0_1em8,0.0001,0.005,50,45,26,0.5119776911501235
flexible_arm_0_1em8,0.0001,0.01,50,45,26,0.5119776911501235
flexible_arm_0_1em8,0.0001,0.02,50,45,26,0.5119776911501235
flexible_arm_0_1em8,0.0001,0.05,50,45,26,0.5119776911501235
flexible_arm_0_1em8,0.001,0.0001,50,41,24,0.5119776911501235
flexible_arm_0_1em8,0.001,0.001,50,41,24,0.5119776911501235
flexible_arm_0_1em8,0.001,0.005,50,41,24,0.5119776911501235
flexible_arm_0_1em8,0.001,0.01,50,41,24,0.5119776911501235
flexible_arm_0_1em8,0.001,0.02,50,41,24,0.5119776911501235
flexible_arm_0_1em8,0.001,0.05,50,41,24,0.5119776911501235
flexible_arm_0_1em8,0.005,0.0001,50,39,24,0.5119776911501235
flexible_arm_0_1em8,0.005,0.001,50,39,24,0.5119776911501235
flexible_arm_0_1em8,0.005,0.005,50,39,24,0.5119776911501235
flexible_arm_0_1em8,0.005,0.01,50,39,24,0.5119776911501235
flexible_arm_0_1em8,0.005,0.02,50,39,24,0.5119776911501235
flexible_arm_0_1em8,0.005,0.05,50,39,24,0.5119776911501235
flexible_arm_0_1em8,0.01,0.0001,50,39,24,0.5119776911501235
flexible_arm_0_1em8,0.01,0.001,50,39,24,0.5119776911501235
flexible_arm_0_1em8,0.01,0.005,50,39,24,0.5119776911501235
flexible_arm_0_1em8,0.01,0.01,50,39,24,0.5119776911501235
flexible_arm_0_1em8,0.01,0.02,50,39,24,0.5119776911501235
flexible_arm_0_1em8,0.01,0.05,50,39,24,0.5119776911501235
flexible_arm_0_1em8,0.02,0.0001,50,38,23,0.5119776911501235
flexible_arm_0_1em8,0.02,0.001,50,38,23,0.5119776911501235
flexible_arm_0_1em8,0.02,0.005,50,38,23,0.5119776911501235
flexible_arm_0_1em8,0.02,0.01,50,38,23,0.5119776911501235
flexible_arm_0_1em8,0.02,0.02,50,38,23,0.5119776911501235
flexible_arm_0_1em8,0.02,0.05,50,38,23,0.5119776911501235
