name,amigo2_0_1,amigo2_0_10,amigo2_m100_100,odepe,odepe_polish,sciml
biohydrogenation,0.0013,0.0478,1.0,0.018,0.0479,0.1164
crauste,0.0,0.0,0.002,0.0362,0.0486,0.0482
daisy_mamil3,0.0,0.0,0.0,0.0001,0.0,0.0
daisy_mamil4,0.1708,0.0634,0.1047,0.0782,0.0412,0.0888
fitzhugh_nagumo,0.0,0.0,1.0,0.0,0.0,0.0
harmonic,0.0,0.0,1.0,0.0,0.0,0.0
hiv,0.0,0.0,0.5292,0.0002,0.0001,0.0
lotka_volterra,0.0,0.0,1.0,0.0003,0.0002,0.0
seir,0.0,0.0461,1.0,0.001,0.0014,0.0273
slowfast,0.0,0.0744,0.4971,0.0,0.0,0.0
vanderpol,0.0,0.0,0.5,0.0,0.0,0.0
