Run,True_deltaEL,True_deltaLM,True_deltaNE,True_e,True_m,True_muEE,True_muLE,True_muLL,True_muM,True_muN,True_muP,True_muPE,True_muPL,True_n,True_p,True_rhoE,True_rhoP,True_s,Est_deltaEL,Est_deltaLM,Est_deltaNE,Est_e,Est_m,Est_muEE,Est_muLE,Est_muLL,Est_muM,Est_muN,Est_muP,Est_muPE,Est_muPL,Est_n,Est_p,Est_rhoE,Est_rhoP,Est_s,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
4,0.793,0.88,0.678,0.684,0.517,0.778,0.746,0.555,0.426,0.199,0.155,0.658,0.463,0.388,0.143,0.785,0.109,0.237,0.98016,0.0,0.69949,0.6845,0.6857,1.2968,0.0,6.8513,0.30162,0.19704,0.21186,0.8386,0.0,0.3881,0.14315,4.5017,0.55582,0.067185,0.34657215948087594,1.450063328384376,11.344684684684685,1.757767690541756,False
6,0.448,0.349,0.146,0.12,0.644,0.268,0.249,0.855,0.692,0.419,0.492,0.282,0.303,0.244,0.463,0.657,0.402,0.154,0.44808,0.35136,0.14632,0.12,0.39787,0.26556,2.7604,0.43834,0.94998,0.4189,0.52047,0.39176,0.056855,0.244,0.463,0.65597,0.44038,0.40012,0.03348516563523843,0.7945223126460061,10.085943775100402,0.6120718509984937,False
2,0.341,0.628,0.115,0.208,0.556,0.654,0.68,0.501,0.865,0.805,0.615,0.439,0.585,0.443,0.573,0.332,0.594,0.339,0.34079,0.47981,0.1151,0.208,0.54674,0.65605,2.5676,0.24017,0.68427,0.80496,0.61273,0.7116,0.42436,0.443,0.573,0.33226,0.60094,0.34824,0.007687279297035438,0.2612056961754796,2.775882352941176,0.4586232050023926,False
9,0.699,0.823,0.712,0.87,0.293,0.417,0.552,0.247,0.216,0.673,0.49,0.384,0.852,0.568,0.18,0.167,0.542,0.334,0.69895,0.83748,0.71193,0.87001,0.31155,0.41291,0.11436,1.6087,0.15019,0.673,0.52818,0.30689,0.68446,0.568,0.18,0.14663,0.0,0.31544,0.05943972124011368,0.4641258600627811,5.512955465587044,0.3636736823949001,False
8,0.44,0.399,0.266,0.791,0.514,0.272,0.858,0.685,0.303,0.65,0.271,0.515,0.121,0.569,0.206,0.471,0.322,0.194,0.44001,0.50299,0.26624,0.791,0.33021,0.26944,0.82461,0.0,0.44694,0.64997,0.27221,0.47757,0.0,0.569,0.206,0.46076,0.070709,0.37778,0.030328530280759568,0.2760641723891146,1.0,0.1898432824113675,False
10,0.801,0.371,0.882,0.853,0.604,0.844,0.636,0.728,0.325,0.113,0.569,0.151,0.489,0.859,0.799,0.869,0.285,0.739,0.80093,0.38665,0.88208,0.85299,0.54087,0.84435,0.58973,0.68399,0.37295,0.11298,0.54942,0.1585,0.50166,0.85901,0.79898,0.86928,0.32004,0.80212,0.03015040917765529,0.041495369426091284,0.1475384615384615,0.03020243376874712,False
7,0.407,0.571,0.356,0.319,0.249,0.817,0.892,0.274,0.63,0.529,0.311,0.117,0.707,0.798,0.862,0.765,0.603,0.738,0.40775,0.5655,0.35605,0.31901,0.22017,0.81499,0.88304,0.28913,0.64619,0.52896,0.3258,0.14529,0.72177,0.798,0.86199,0.76489,0.66748,0.76681,0.009838533608726663,0.03762931658934512,0.24179487179487175,0.020632439399052054,False
3,0.663,0.18,0.745,0.22,0.23,0.623,0.622,0.445,0.817,0.559,0.394,0.449,0.814,0.899,0.592,0.836,0.671,0.795,0.66282,0.17191,0.74506,0.22,0.24908,0.62388,0.62911,0.45566,0.7376,0.55898,0.40395,0.45394,0.81106,0.899,0.59199,0.83605,0.65991,0.77595,0.007307010391642873,0.019039244708441008,0.09718482252141973,0.02043525806595604,True
1,0.862,0.458,0.278,0.751,0.805,0.316,0.688,0.87,0.299,0.642,0.561,0.574,0.558,0.338,0.565,0.777,0.66,0.417,0.86194,0.4755,0.2782,0.75099,0.78079,0.31758,0.65844,0.82436,0.31944,0.64195,0.54953,0.57564,0.5757,0.33801,0.56499,0.77905,0.67948,0.44119,0.012722816399287021,0.021288002552253913,0.06836120401337797,0.01777308076839803,True
5,0.597,0.562,0.232,0.529,0.684,0.115,0.735,0.279,0.376,0.26,0.842,0.664,0.125,0.591,0.35,0.29,0.847,0.572,0.59712,0.56513,0.23212,0.529,0.67286,0.11418,0.75387,0.25859,0.38197,0.25998,0.83109,0.65542,0.16886,0.591,0.35001,0.28888,0.87933,0.58313,0.010026060764798353,0.03237580140980346,0.3508800000000001,0.015328963870181622,False
