Run,True_k01,True_k12,True_k13,True_k14,True_k21,True_k31,True_k41,True_x1,True_x2,True_x3,True_x4,Est_k01,Est_k12,Est_k13,Est_k14,Est_k21,Est_k31,Est_k41,Est_x1,Est_x2,Est_x3,Est_x4,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
10,0.805,0.318,0.403,0.399,0.699,0.29,0.237,0.459,0.344,0.771,0.29,0.805,0.318,0.39369,0.3996,0.699,-0.13242,0.65943,0.459,0.344,-0.41555,1.4766,0.001503759398496214,0.8085755221752894,4.091724137931035,0.5370706115671299,False
2,0.362,0.705,0.609,0.292,0.228,0.737,0.867,0.467,0.573,0.786,0.466,0.362,0.705,0.29206,0.60676,0.228,0.86553,0.7387,0.467,0.573,0.46015,0.79185,0.14798154555940018,0.27586965802813473,1.077945205479452,0.2011019906551264,False
3,0.861,0.561,0.757,0.827,0.752,0.228,0.603,0.419,0.15,0.439,0.307,0.861,0.561,0.82753,0.75703,0.752,0.59871,0.23227,0.419,0.15,0.30439,0.44161,0.08460701330108825,0.2876005017556237,1.6259210526315788,0.17082064570771296,False
1,0.25,0.823,0.535,0.466,0.806,0.467,0.679,0.419,0.823,0.652,0.66,0.25,0.823,0.46712,0.5276,0.806,0.64293,0.50333,0.419,0.823,0.5907,0.7213,0.09287878787878791,0.09830972830676635,0.3767237687366166,0.08406109693658427,False
8,0.33,0.665,0.432,0.388,0.763,0.84,0.137,0.286,0.379,0.752,0.888,0.33,0.665,0.43787,0.386,0.763,0.76013,0.21655,0.286,0.379,0.69945,0.94055,0.005154639175257736,0.0748673742595443,0.5806569343065692,0.04075300468565588,False
6,0.303,0.205,0.11,0.192,0.595,0.879,0.892,0.427,0.23,0.611,0.492,0.303,0.205,0.11772,0.17954,0.595,0.96005,0.81458,0.427,0.23,0.56305,0.53995,0.06489583333333332,0.04454688014774941,0.09745934959349603,0.03974488406186272,True
7,0.892,0.152,0.727,0.331,0.293,0.63,0.297,0.633,0.514,0.439,0.544,0.892,0.152,0.72479,0.33545,0.293,0.62207,0.30714,0.633,0.514,0.43887,0.54413,0.00023897058823522696,0.005795255690877932,0.03414141414141427,0.004160691594609553,True
5,0.796,0.463,0.361,0.286,0.592,0.126,0.112,0.443,0.154,0.302,0.277,0.796,0.463,0.36077,0.2877,0.592,0.12159,0.11651,0.443,0.154,0.29708,0.28192,0.0006371191135734293,0.010536559616449894,0.04026785714285714,0.002878508136328446,True
4,0.779,0.127,0.867,0.384,0.385,0.113,0.248,0.421,0.843,0.18,0.856,0.779,0.127,0.86563,0.38242,0.385,0.11659,0.24433,0.421,0.843,0.18323,0.85277,0.0015801614763552277,0.006725532031028486,0.03176991150442474,0.0021657688116358425,True
9,0.875,0.824,0.337,0.894,0.3,0.185,0.861,0.287,0.652,0.147,0.685,0.875,0.824,0.33754,0.895,0.3,0.18575,0.85998,0.287,0.652,0.14851,0.68349,0.0011185682326621935,0.0018578321426440845,0.010272108843537492,0.00082322536404074,True
