Run,True_k01,True_k12,True_k13,True_k14,True_k21,True_k31,True_k41,True_x1,True_x2,True_x3,True_x4,Est_k01,Est_k12,Est_k13,Est_k14,Est_k21,Est_k31,Est_k41,Est_x1,Est_x2,Est_x3,Est_x4,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
10,0.805,0.318,0.403,0.399,0.699,0.29,0.237,0.459,0.344,0.771,0.29,0.8049999944702503,0.3180000058703771,0.40275598871504564,-2.7863584557397316,0.6990000089494989,0.529511123947174,-0.008123613051822066,0.458999971851391,0.3439999996419923,1.0599098286311712,0.0010901980722616152,0.0006054870594401535,1.0195544549414126,7.983354525663487,0.9737881736241929,False
3,0.861,0.561,0.757,0.827,0.752,0.228,0.603,0.419,0.15,0.439,0.307,0.8610000155461766,0.5609997417592458,1.776163454942131,0.7603891527359781,0.7519997722893512,0.05074315021667903,0.7478677166192869,0.4189992721990058,0.15000001013349115,0.005323321702119212,0.7406774004546955,0.08054515993231184,0.4404598139178638,1.412629968907803,0.36577307271308374,False
5,0.796,0.463,0.361,0.286,0.592,0.126,0.112,0.443,0.154,0.302,0.277,0.7960000989616438,0.4629996137518046,0.33505356119386087,0.7115664405940556,0.5919997021801866,0.2792555863082892,-0.03209162928165059,0.443000041173347,0.15399999828669966,0.5834958078399617,-0.004495829072024406,0.07187379170675656,0.5464592945563216,1.4879945475316632,0.18696365155413622,False
8,0.33,0.665,0.432,0.388,0.763,0.84,0.137,0.286,0.379,0.752,0.888,0.3300000011007432,0.6650008450862682,0.42294515250605824,0.3908467386589528,0.7630008763205702,1.0433382349586373,-0.06597311725710403,0.28600008021164,0.37900000722226423,0.8885979258326258,0.7514019871372212,0.007336955306579372,0.18976342448988356,1.4815556004168178,0.10442597585702647,False
1,0.25,0.823,0.535,0.466,0.806,0.467,0.679,0.419,0.823,0.652,0.66,0.24979941720074864,0.8243868605028625,0.527246901219872,0.527246901219872,0.8078060931890406,0.6094228075189116,0.6094228075189119,0.418601152043103,0.823117648675096,0.6560808917234681,0.6560808917234681,0.005938042843230255,0.051944280027507124,0.304973891903451,0.05132246261789463,False
6,0.303,0.205,0.11,0.192,0.595,0.879,0.892,0.427,0.23,0.611,0.492,0.30285976118958524,0.205295768595273,0.14549670542822643,0.14549670542822662,0.5956874145663403,0.8819820103024694,0.8819820103024694,0.42684707440431124,0.22995870171808752,0.551581604061877,0.5515816040618768,0.0033925031882472835,0.07286114942514589,0.32269732207478574,0.031061439263490948,False
9,0.875,0.824,0.337,0.894,0.3,0.185,0.861,0.287,0.652,0.147,0.685,0.8750010520150451,0.8240015911193423,0.3458711527245406,0.9140613463465127,0.30000130493338806,0.1988720520793719,0.8420810821411283,0.28702245479054567,0.6519978358460725,0.17597112054471103,0.6560152987919502,0.021973191473718554,0.03501873308360698,0.19708245268510916,0.015698736178776054,False
7,0.892,0.152,0.727,0.331,0.293,0.63,0.297,0.633,0.514,0.439,0.544,0.8920000587833008,0.15199987990302788,0.7309411028754854,0.3218352135829354,0.29299973823847053,0.6460789570470538,0.27640818509380394,0.6329997977007781,0.51400004570051,0.4399821611267966,0.5430180277001345,0.0018050961394586744,0.012000783010501687,0.06933271012187223,0.008442372636149768,True
4,0.779,0.127,0.867,0.384,0.385,0.113,0.248,0.421,0.843,0.18,0.856,0.7790000018788844,0.12699997176136588,0.8677784188341295,0.38468017491641004,0.38499992971299035,0.11113250241436604,0.24966243215364817,0.4210000706432733,0.8430000021929643,0.17832380755132698,0.8576761196103205,0.0008978302585115873,0.0033790766838695807,0.016526527306495287,0.0010845526844950246,True
2,0.362,0.705,0.609,0.292,0.228,0.737,0.867,0.467,0.573,0.786,0.466,0.3619999985756251,0.7049999868749677,0.6083071757858781,0.2920193527989946,0.2279999892854804,0.7375168033069158,0.8665519313097793,0.4670000117144742,0.5729999991092877,0.7877939601949138,0.464206028059567,6.627670888568741e-05,0.0007776510726021789,0.003849725194062263,0.0008193600405261314,True
