name,has_result,total_runs,0e+00,1e-08,1e-06,1e-04,1e-02
biohydrogenation,50,50,59.6 ± 10.3,47.1 ± 13.8,42.4 ± 11.1,41.0 ± 14.4,32.2 ± 11.9
crauste,50,50,149.5 ± 34.4,151.4 ± 26.8,133.7 ± 30.1,113.9 ± 24.7,86.4 ± 36.2
daisy_mamil3,50,50,9.1 ± 0.6,15.7 ± 0.7,15.6 ± 1.0,14.2 ± 2.3,12.3 ± 1.8
daisy_mamil4,50,50,23.3 ± 5.2,27.8 ± 3.1,24.7 ± 5.3,21.7 ± 5.9,21.9 ± 3.0
fitzhugh_nagumo,50,50,23.3 ± 2.2,28.5 ± 2.4,26.3 ± 4.3,23.2 ± 6.4,21.0 ± 5.3
harmonic,50,50,1.0 ± 0.0,1.7 ± 0.8,7.2 ± 1.8,15.7 ± 0.5,15.5 ± 0.7
hiv,50,50,48.1 ± 7.2,48.8 ± 6.5,44.7 ± 9.9,43.4 ± 9.5,26.9 ± 6.9
lotka_volterra,50,50,25.0 ± 2.0,30.4 ± 1.0,29.5 ± 2.1,27.6 ± 2.3,24.0 ± 5.4
seir,50,50,43.7 ± 9.1,48.9 ± 6.8,40.6 ± 7.8,40.3 ± 11.5,32.8 ± 11.6
slowfast,48,50,13.1 ± 2.8,21.1 ± 11.9,30.6 ± 2.1,25.0 ± 3.5,22.5 ± 3.4
vanderpol,50,50,1.4 ± 0.5,2.3 ± 1.3,10.1 ± 1.7,15.8 ± 0.4,15.6 ± 0.5
