Run,True_a,True_b,True_beta,True_c,True_d,True_h,True_k,True_lm,True_q,True_uu,True_vv,True_w,True_x,True_yy,True_z,Est_a,Est_b,Est_beta,Est_c,Est_d,Est_h,Est_k,Est_lm,Est_q,Est_uu,Est_vv,Est_w,Est_x,Est_yy,Est_z,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
2,0.457,0.161,0.809,0.629,0.228,0.657,0.826,0.34,0.452,0.228,0.148,0.149,0.298,0.132,0.826,0.45732873537482804,0.16099811937465544,0.8088030759111219,0.6292584470484631,0.22798891591815626,0.6570006761948646,0.8262873337040608,0.339995322767034,0.45202000424499045,0.22782733741827524,0.14803069014811762,0.14900003240285178,0.2980000175335457,0.1319692709768881,0.8259998259968813,4.861439405152868e-05,0.00020258507187280596,0.0007572920251086384,0.00014797500505040777,True
5,0.75,0.368,0.61,0.712,0.677,0.218,0.881,0.382,0.659,0.812,0.446,0.518,0.15,0.294,0.718,0.7498863420985651,0.3680162598447681,0.6101116964942452,0.7121449448076671,0.6769975505464293,0.2180016176332655,0.8808677194727,0.3820004400019838,0.6586954069675005,0.8121473071942455,0.44592473309403013,0.5180000670829591,0.14999997412608665,0.2940751420523433,0.7180001476574311,0.00015014815811573902,0.00012088135203139582,0.0004622049051586081,0.000112535132390489,True
9,0.69,0.867,0.124,0.663,0.357,0.183,0.188,0.424,0.608,0.585,0.528,0.423,0.794,0.123,0.519,0.6897625007623118,0.8670065448170204,0.12398472139503437,0.6629574732326402,0.3569809359005274,0.18300120913184906,0.18780827435971897,0.4239766588554544,0.6079411432902044,0.5849983397406878,0.5279802292428069,0.42300000630575624,0.7939999540896712,0.12301993148883913,0.5190001152206416,5.3400838858851255e-05,0.00013156060938360992,0.0010198172355373742,8.181855843349783e-05,True
8,0.671,0.156,0.376,0.445,0.637,0.758,0.611,0.42,0.592,0.419,0.53,0.188,0.623,0.681,0.424,0.6710564294499411,0.15599974843005907,0.37597409881448085,0.44507490632893054,0.6368919471102832,0.7580017701590305,0.611073191850835,0.4199459618251641,0.592000587346595,0.41898150544769236,0.5300979710818299,0.187999989053047,0.6230001417509787,0.6809019539905704,0.4239999762509736,6.888613169986819e-05,7.450927457754304e-05,0.00018485109779217113,5.714057198342645e-05,True
3,0.523,0.403,0.638,0.39,0.818,0.884,0.344,0.692,0.477,0.898,0.644,0.151,0.24,0.362,0.586,0.522928719353489,0.4030170190872247,0.6379566333331915,0.3900550313926282,0.8180151685425959,0.8839964043814582,0.3439040340518506,0.6920002957149792,0.4768581895448663,0.8979565246363921,0.6440226628427168,0.15099999653003857,0.24000000933487547,0.36197750157613556,0.5860000210034966,4.2230985669178487e-05,7.551731542310893e-05,0.00029729655164292026,5.338686614589341e-05,True
4,0.512,0.207,0.291,0.37,0.327,0.177,0.394,0.482,0.876,0.465,0.627,0.418,0.375,0.573,0.899,0.5120312993669814,0.20699969914609562,0.29095726113786957,0.37006747918832045,0.32700987404078014,0.17700053646924957,0.39405616254371906,0.4820043275494089,0.8759983844575943,0.46497079617347886,0.6270969353370516,0.4180000571769624,0.3750000117153841,0.5729032688771871,0.89899988265955,3.0195843364288465e-05,6.432956228203105e-05,0.00018237618464986958,4.489944014979474e-05,True
6,0.572,0.42,0.186,0.849,0.194,0.404,0.696,0.867,0.887,0.779,0.625,0.79,0.218,0.648,0.178,0.5719982864300746,0.4200020179786676,0.18601548591100303,0.848945910964437,0.19399650293354775,0.4039971792020694,0.6959462955906571,0.8669995810084613,0.8869936851213184,0.7790107753122489,0.6249555621030356,0.7899999241823151,0.217999988900065,0.6480444633373658,0.17800002375662152,7.119367172079726e-06,2.7891271720911306e-05,8.325758603780934e-05,2.605721629809249e-05,True
10,0.515,0.168,0.115,0.278,0.252,0.277,0.774,0.392,0.164,0.399,0.153,0.152,0.18,0.312,0.785,0.5149620800659952,0.168002609133819,0.11500724986468945,0.27799303048792146,0.25199864831803803,0.2769998237736222,0.7739388634486968,0.3919993617260828,0.16397171772970753,0.3990258892130789,0.15298330034847735,0.15200000921160597,0.18000005930440996,0.31201678765117447,0.7850000315455047,2.5070187332983993e-05,4.430753579309485e-05,0.00017245286763703312,2.208567162394853e-05,True
1,0.797,0.764,0.884,0.533,0.207,0.875,0.502,0.595,0.839,0.838,0.24,0.411,0.836,0.129,0.862,0.7969986846128918,0.7639957543945699,0.884049479999934,0.5330054587314204,0.20699635837347688,0.875004838823732,0.5019856142729927,0.5949978721593909,0.8390601260082765,0.8380221664103253,0.23998722573636036,0.41100001539439546,0.8359998705244203,0.12901274801307036,0.8619999151053823,1.024152236459087e-05,2.5282104296872052e-05,9.88218067469552e-05,2.1875679847261515e-05,True
7,0.235,0.466,0.293,0.476,0.565,0.884,0.788,0.498,0.193,0.147,0.194,0.317,0.439,0.786,0.423,0.2349973571410476,0.4659869342630828,0.2930026943591848,0.4759661252876082,0.564999041301257,0.8839978167883625,0.7880071712473457,0.4980016047980694,0.19301000774132368,0.14700624788416908,0.19401275526669826,0.31699994435939227,0.4389999613548529,0.7859873691758081,0.4229999298699919,9.195765135898659e-06,2.0849269855408137e-05,7.116536216765023e-05,1.1116284079944184e-05,True
