Run,True_E,True_In,True_NN,True_S,True_a,True_b,True_nu,Est_E,Est_In,Est_NN,Est_S,Est_a,Est_b,Est_nu,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
6,0.487,0.132,0.612,0.3,0.846,0.413,0.294,0.0008859149116455296,0.13231577589204174,0.6120666443689151,-0.0015450306568436105,-0.07113873794344236,4.665120831954223,0.5433904070984962,0.9981808728713645,2.0334113190407206,10.29569208705623,1.6609423754827224,False
5,0.577,0.194,0.881,0.297,0.44,0.186,0.555,-0.5145626374135857,0.194386670398423,0.8811286271547355,1.06893891638987,0.8425469067155186,1.7640196768606038,-0.7611053832066779,1.8917896662280516,2.323323840872898,8.483976757315075,0.9389753032249331,False
9,0.49,0.1,0.44,0.522,0.246,0.422,0.696,0.4010897860494949,0.1003733269503857,0.43989306266074163,-0.08319870910089999,-0.10483222152287099,2.6664992053450374,0.7473448118073586,0.18144941622552058,1.1662067492433812,5.318718496078287,0.8894353645996379,False
8,0.8,0.19,0.27,0.331,0.716,0.386,0.597,0.16084643373537746,0.2749056347756979,0.27011292524345426,-0.07725657966147356,-0.010946055704159139,1.2490075609786222,1.3845375370171786,1.0152877872963118,1.0071217927865332,2.235770883364306,0.5947205449495507,False
4,0.225,0.343,0.16,0.182,0.442,0.774,0.754,-0.00888356496124718,0.3593787885105675,0.1599914660262405,0.005168162278894001,0.046004900530926866,-0.16559211251953562,0.2732638362600612,0.895916514635912,0.6866188362459863,1.2139432978288573,0.4402908132159513,False
7,0.863,0.382,0.818,0.667,0.427,0.402,0.747,0.44036588644787317,0.36167984567060024,0.8182862760107158,0.7194615674997643,0.38312976402836396,0.7279482094610233,1.6361628862558122,0.10274059946518976,0.3893989409397663,1.1903117620559736,0.3928944372544197,False
2,0.296,0.273,0.233,0.641,0.401,0.873,0.734,0.24444723978199873,0.3692125919214396,0.23280971892298166,-0.08416030289794225,0.005220521024137207,0.5613086056316116,0.9654232069059276,0.35242707663530987,0.47400147448162355,1.1312953243337633,0.34746462780560217,False
1,0.805,0.856,0.894,0.369,0.787,0.467,0.456,0.8260444581353704,0.8619012363185783,0.8942456986169269,0.010618215956525111,0.6845274711002939,-0.2933389310786573,0.33791744429100407,0.13020651702631023,0.43168993935420147,1.6281347560570818,0.32325899756917553,False
3,0.723,0.775,0.211,0.495,0.838,0.335,0.462,0.577987558372967,0.7498617783786249,0.21103434536886692,-0.0450703997036871,0.5190307843222449,-0.05706785892866663,0.35872456982201045,0.22353989216015058,0.4426777418023053,1.1703518176975123,0.2877153745487428,False
10,0.787,0.742,0.227,0.272,0.151,0.267,0.846,0.277045447833895,0.7310962156182543,0.22681123671858333,0.3271531642658492,-0.08681370721882242,0.12005591237375425,0.8376221407724666,0.20276898627150422,0.4287784179285468,1.574925213369685,0.2208530725888641,False
