Run,True_eA,True_eB,True_eC,True_k1,True_k2,True_xA,True_xB,True_xC,Est_eA,Est_eB,Est_eC,Est_k1,Est_k2,Est_xA,Est_xB,Est_xC,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
6,0.394,0.884,0.374,0.82,0.146,0.177,0.791,0.553,0.395886426438652,0.3675042819502264,0.37395531714444075,0.805478511414476,0.07830658113807729,0.9999999999509334,0.9999999999446495,0.56480813387616,0.14278768362138444,0.750729262357793,4.649717513847082,0.3522630572233465,False
2,0.736,0.682,0.376,0.832,0.685,0.332,0.562,0.723,0.7360013479531299,0.67000116540278,0.37600005219111565,0.6820584716889906,0.8374372426246091,0.43435949513269834,0.4596307907533455,0.7230007144320001,0.09890589109113775,0.11385177642746874,0.30831173232740455,0.09139233291889351,False
9,0.212,0.339,0.282,0.48,0.756,0.221,0.364,0.751,0.21199996246979172,0.34982880513274617,0.2820023227766418,0.4787710138916153,0.8204879707684746,0.2496432934188885,0.3353489721457612,0.751000682657702,0.01725188284925195,0.04101673933391127,0.1296076625289072,0.027200164204791235,False
4,0.749,0.793,0.379,0.597,0.499,0.602,0.421,0.433,0.7489987672603464,0.7928896400695156,0.3790013167686599,0.5994115358997751,0.4973208243518249,0.6005491036649244,0.42243527198555314,0.4329958649260738,0.001274647216159009,0.0016722083274892672,0.004039423617713842,0.0012655256698106587,True
8,0.366,0.718,0.18,0.68,0.131,0.273,0.823,0.134,0.36599850584367527,0.7191724131534546,0.18000019760331318,0.6773651361481713,0.1312654735214883,0.27356840532514387,0.8213741827605546,0.1339985758659308,0.00180418199874677,0.0014509447569472393,0.0038747997821011195,0.0011913179109769695,True
1,0.446,0.526,0.386,0.819,0.248,0.361,0.353,0.458,0.44599941465997045,0.5262263956264095,0.3859991984026399,0.8171362003809434,0.2482563296752296,0.3611048536346187,0.35276303022967676,0.4579928276330187,0.0003604316088159699,0.0005900629978038845,0.0022757016105696987,0.0006761943402995638,True
7,0.544,0.626,0.761,0.706,0.352,0.514,0.488,0.821,0.5440011398822048,0.6261109934274777,0.7609962610237486,0.7071334210440587,0.3517290070737655,0.5133781002915763,0.488456294280773,0.820994340985517,0.000473586031202209,0.0005889295781872383,0.0016054122437093202,0.0004956575168212316,True
10,0.682,0.416,0.752,0.155,0.665,0.349,0.675,0.369,0.6820001792850978,0.41571089137281086,0.7519968324591301,0.15550446355906525,0.6657078663448862,0.34967318993692115,0.6743511005130082,0.3689917587925692,0.0008281526174167952,0.000991386179626879,0.0032546036068725748,0.0004628006132924495,True
5,0.24,0.801,0.193,0.269,0.148,0.835,0.196,0.368,0.23999973567379868,0.8018227481446235,0.19299877839007115,0.2688174398888612,0.1481202043266622,0.8345854352200376,0.19592201360164252,0.36799611404096383,0.0004471872769801072,0.0004287962413544963,0.001027151241727171,0.0003359044287069433,True
3,0.459,0.213,0.554,0.717,0.689,0.793,0.453,0.489,0.45900209078921406,0.21295866923056542,0.5540012138939201,0.7169149339140882,0.689135063206121,0.7930991376110056,0.4528728063116876,0.48900547885007317,0.00012182879239632831,0.0001165572291339073,0.00028078076890161697,8.156968196012036e-05,True
