name,has_result,total_runs,0e+00,1e-08,1e-06,1e-04,1e-02
biohydrogenation,50,50,60.9 ± 14.1,46.0 ± 12.3,42.6 ± 11.2,41.6 ± 14.1,32.2 ± 11.7
crauste,50,50,152.9 ± 30.5,152.3 ± 32.4,133.5 ± 34.7,114.4 ± 26.3,85.5 ± 36.8
daisy_mamil3,50,50,9.4 ± 0.5,15.6 ± 0.7,15.5 ± 1.0,14.2 ± 2.3,12.3 ± 1.8
daisy_mamil4,50,50,23.9 ± 4.8,28.4 ± 2.7,25.4 ± 4.9,21.1 ± 5.7,21.7 ± 3.1
fitzhugh_nagumo,50,50,24.3 ± 2.6,28.5 ± 3.0,26.3 ± 4.4,23.1 ± 6.3,21.0 ± 5.3
harmonic,50,50,1.0 ± 0.0,1.7 ± 0.8,7.2 ± 2.1,15.7 ± 0.5,15.5 ± 0.7
hiv,50,50,47.6 ± 7.9,49.0 ± 7.1,45.2 ± 9.0,43.7 ± 9.1,26.9 ± 6.9
lotka_volterra,50,50,24.8 ± 2.1,30.2 ± 0.8,29.4 ± 2.4,27.5 ± 2.2,23.9 ± 5.3
seir,50,50,42.9 ± 8.7,49.8 ± 7.5,40.5 ± 8.0,40.4 ± 11.5,32.8 ± 11.6
slowfast,50,50,12.4 ± 3.8,26.6 ± 4.8,30.5 ± 2.0,25.0 ± 3.5,22.1 ± 3.6
vanderpol,50,50,1.4 ± 0.7,2.3 ± 1.3,10.2 ± 1.7,15.8 ± 0.4,15.6 ± 0.5
