Run,True_k01,True_k12,True_k13,True_k14,True_k21,True_k31,True_k41,True_x1,True_x2,True_x3,True_x4,Est_k01,Est_k12,Est_k13,Est_k14,Est_k21,Est_k31,Est_k41,Est_x1,Est_x2,Est_x3,Est_x4,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
10,0.805,0.318,0.403,0.399,0.699,0.29,0.237,0.459,0.344,0.771,0.29,0.8049999944702874,0.31800000587038046,0.4027559887167496,-2.786358117532737,0.6990000089495303,0.5295111239242474,-0.008123612437363948,0.45899997185142133,0.34399999964199957,1.0599098286000639,0.0010901981033448673,0.0006054870552119393,1.0195543776268559,7.98335367802691,0.9737880730344066,False
3,0.861,0.561,0.757,0.827,0.752,0.228,0.603,0.419,0.15,0.439,0.307,0.8610000155693471,0.5609997418951378,1.776163584349035,0.7603891531200507,0.7519997724144375,0.05074314225420043,0.7478677214699815,0.418999272222816,0.15000001012989123,0.005323319370556697,0.7406774027705912,0.08054515946789507,0.44045983444897874,1.4126299764514374,0.36577310651218564,False
5,0.796,0.463,0.361,0.286,0.592,0.126,0.112,0.443,0.154,0.302,0.277,0.7959998636480033,0.4629980794308893,0.33963501384445194,-0.4103487031533985,0.5919976074068344,0.2649182426151517,-0.04326082365523294,0.4429963420586056,0.1540008973772156,0.5581523436835575,0.02084976535609004,0.059182787134482134,0.6141536958475012,2.434785675361533,0.24494696019872567,False
8,0.33,0.665,0.432,0.388,0.763,0.84,0.137,0.286,0.379,0.752,0.888,0.3300000011400842,0.6650008769182929,0.42214248325958986,0.3911798614684757,0.7630009093722326,1.0692911555163354,-0.09189434334202141,0.2860000833433081,0.3790000074727276,0.9038408494286029,0.7361590601662247,0.008195519248648734,0.21342291220289758,1.6707616302337327,0.11723544729755836,False
1,0.25,0.823,0.535,0.466,0.806,0.467,0.679,0.419,0.823,0.652,0.66,0.24979941720074883,0.8243868605028629,0.5272469012198758,0.5272469012198754,0.8078060931890414,0.6094228075189155,0.6094228075189156,0.4186011520431029,0.8231176486750958,0.6560808917234678,0.656080891723468,0.005938042843230423,0.051944280027507436,0.3049738919034593,0.05132246261789545,False
6,0.303,0.205,0.11,0.192,0.595,0.879,0.892,0.427,0.23,0.611,0.492,0.30285976119193614,0.20529576859823198,0.14549670542259435,0.14549670542259438,0.5956874145872505,0.8819820103074941,0.8819820103074941,0.4268470744042764,0.22995870171570623,0.5515816040605855,0.5515816040605854,0.003392503193963732,0.07286114942786949,0.32269732202358503,0.031061439263612274,False
9,0.875,0.824,0.337,0.894,0.3,0.185,0.861,0.287,0.652,0.147,0.685,0.8750010520150362,0.8240015911194783,0.3458711637450399,0.9140613783296757,0.30000130493350696,0.19887207150266809,0.8420810572483027,0.2870224545204257,0.6519978358631338,0.17597116268210095,0.6560152568646348,0.02197322038524652,0.0350187830171812,0.1970827393340201,0.015698758854534017,False
7,0.892,0.152,0.727,0.331,0.293,0.63,0.297,0.633,0.514,0.439,0.544,0.8920001417213712,0.15200064246539313,0.730779482025546,0.321851800879067,0.29300117806271275,0.6461383458204343,0.2764095158315493,0.6330001179072524,0.5139998778114235,0.44022564588116186,0.5427744259578928,0.002252893459755907,0.012075916400493046,0.06932822952340291,0.00844981181639308,True
4,0.779,0.127,0.867,0.384,0.385,0.113,0.248,0.421,0.843,0.18,0.856,0.7790000018789214,0.12699997176131764,0.8677784187303172,0.3846801748184286,0.3849999297128451,0.11113250267702456,0.2496624319150333,0.4210000706432511,0.8430000021929651,0.17832380778485937,0.8576761193767983,0.0008978301387742261,0.003379076208331262,0.016526524982083606,0.0010845525321485526,True
2,0.362,0.705,0.609,0.292,0.228,0.737,0.867,0.467,0.573,0.786,0.466,0.36199999858056736,0.7049999868302061,0.6083074582012556,0.29201934633268545,0.22799998924487339,0.7375165716535069,0.8665521253847168,0.4670000117153682,0.5729999991081004,0.7877932108902692,0.46420677736682553,6.625456399132167e-05,0.0007773251558341513,0.0038481172385718796,0.0008190170981319233,True
