Run,True_R,True_VV,True_a,True_b,True_g,Est_R,Est_VV,Est_a,Est_b,Est_g,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
8,0.457,0.303,0.79,0.139,0.839,0.45699992405649137,0.3030000018946935,0.7900000874089164,0.1390002723374597,0.8390000641039993,1.106441978825213e-07,4.6374864223896584e-07,1.959262299961745e-06,1.3541664573161458e-07,True
1,0.852,0.794,0.854,0.607,0.502,0.8520001275462813,0.7939999996508041,0.8540000185904104,0.6069999224389437,0.5019999605106398,7.866406419569998e-08,7.567047670011498e-08,1.4970220811548663e-07,6.955416046762492e-08,True
6,0.505,0.299,0.464,0.421,0.317,0.5050001071516812,0.2990000009096286,0.4639999907645557,0.42099991817071714,0.3169999535007457,1.4668534473297215e-07,1.152363890819111e-07,2.1218154691994603e-07,6.391528114421059e-08,True
4,0.538,0.874,0.406,0.816,0.583,0.537999920074116,0.8740000016740098,0.40599994495044783,0.816000053473198,0.5830000261440726,6.553088001431407e-08,7.928828225810747e-08,1.485611227179935e-07,5.092012940501797e-08,True
10,0.803,0.641,0.264,0.373,0.668,0.8029999070290783,0.6410000030477793,0.2639999652370685,0.373000039965831,0.6680000290652915,1.0714699994097529e-07,8.057397825563105e-08,1.3167777095974226e-07,4.9605244626547947e-08,True
5,0.542,0.425,0.574,0.817,0.32,0.5419999799047324,0.4249999976896451,0.5740000350837949,0.8170000633168983,0.32000001768082287,5.52525714417329e-08,4.7277139586164715e-08,7.749926363648492e-08,3.453019348843225e-08,True
2,0.461,0.896,0.66,0.874,0.701,0.4610000361743237,0.895999999548413,0.6600000163070119,0.8739999550733061,0.7009999780232445,3.135057833878324e-08,3.728699283195001e-08,7.84692488138293e-08,2.8552022229477528e-08,True
9,0.598,0.644,0.379,0.692,0.184,0.5980000230917342,0.6439999977859306,0.3790000463041305,0.692000026637887,0.18400000552431148,3.849405636892626e-08,4.654898222140084e-08,1.2217448673971123e-07,2.616217816500378e-08,True
3,0.205,0.434,0.334,0.222,0.157,0.2049999510633705,0.4340000010084537,0.3339999903311796,0.22200001048394855,0.15700000763985478,4.722499343531036e-08,7.317478896761898e-08,2.3871526584719435e-07,2.3054619197750543e-08,True
7,0.367,0.7,0.398,0.52,0.348,0.36700002214348465,0.700000000227366,0.39799998539154025,0.5199999683935166,0.347999987933122,3.670467280198349e-08,3.856451750540257e-08,6.078169890476859e-08,1.9226918861297857e-08,True
