Run,True_k1,True_k2,True_k3,True_r,True_w,Est_k1,Est_k2,Est_k3,Est_r,Est_w,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
6,0.645,0.322,0.52,0.194,0.228,0.6449997397499461,0.3219988866676456,0.5200019399128015,0.19400000103036916,0.2280000440429615,4.0348845573906026e-07,1.558025191554704e-06,3.7306015413603925e-06,1.0072181038432683e-06,True
7,0.137,0.877,0.103,0.243,0.59,0.13700000672166124,0.8769999884883557,0.10299999860259566,0.24300000000010838,0.5900000154077172,1.3567032341147757e-08,2.0374327242409695e-08,4.9063220639529395e-08,9.132898475836538e-09,True
10,0.802,0.398,0.101,0.298,0.355,0.801999997454454,0.3980000055637536,0.10100000107011868,0.29799999999928656,0.35499998860603593,1.0595234398307076e-08,1.1969315932469571e-08,3.209567338037375e-08,5.8034942828339e-09,True
8,0.165,0.806,0.676,0.873,0.506,0.165000001176282,0.8059999975965138,0.6759999979889229,0.8730000000001529,0.506000002969291,2.9819929266429445e-09,3.790856031360012e-09,7.128981748362083e-09,2.001075034059728e-09,True
9,0.34,0.54,0.845,0.517,0.314,0.3400000005005415,0.5400000039216619,0.8449999999558839,0.5169999999952685,0.3139999985870607,1.4721808739391035e-09,2.659136943812062e-09,7.262336822446126e-09,1.8776762160573063e-09,True
2,0.26,0.446,0.523,0.38,0.725,0.25999999997920414,0.44599999820019937,0.5229999993579345,0.38000000000010337,0.7250000028825017,1.2276587225025813e-09,1.863841332038628e-09,4.035427448105701e-09,1.5466595550512274e-09,True
5,0.501,0.401,0.392,0.309,0.497,0.5010000000161251,0.40099999970318806,0.39199999983076006,0.3089999999988455,0.49700000038708,4.3173458005919563e-10,3.973338283515962e-10,7.788329560976395e-10,2.3101158693934817e-10,True
1,0.23,0.548,0.719,0.465,0.223,0.22999999999063253,0.5479999996821141,0.7189999998833227,0.464999999999971,0.2230000001117757,1.6227708405903185e-10,2.568775685110749e-10,5.800838317398311e-10,1.5952843179883186e-10,True
4,0.803,0.653,0.89,0.707,0.392,0.8029999999843578,0.6530000000478124,0.8900000000651949,0.7070000000000121,0.3919999999477404,7.321963352112885e-11,5.985691665592878e-11,1.3331541086489318e-10,4.361684690236856e-11,True
3,0.701,0.842,0.123,0.817,0.414,0.7010000000014396,0.84199999999078,0.12299999999246979,0.8169999999999538,0.4140000000058781,1.095006903836351e-11,1.7695979915555413e-11,6.122124036268613e-11,5.972249385510509e-12,True
