Run,True_k1,True_k2,True_k3,True_r,True_w,Est_k1,Est_k2,Est_k3,Est_r,Est_w,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
7,0.137,0.877,0.103,0.243,0.59,0.1363489331758888,0.8782671004869358,0.10316740423303564,0.2429999959301528,0.5884072741869393,0.0016252838158800228,0.0021043921678375057,0.004752312584753296,0.0009585646922660796,True
1,0.23,0.548,0.719,0.465,0.223,0.23008028777707437,0.5492030522503782,0.719185650524151,0.464999189928853,0.22264864254595992,0.00034907729162765875,0.0008759941473451378,0.00219535082185803,0.0005677498882659369,True
2,0.26,0.446,0.523,0.38,0.725,0.2599987763576065,0.44659256081685633,0.5232231416133536,0.3799999991248344,0.7240349901878905,0.0004266570045001384,0.0006182050676311305,0.0013310480167026924,0.0005161716644784878,True
9,0.34,0.54,0.845,0.517,0.314,0.3400864327031022,0.5409313600967046,0.8451647339604604,0.516999945963625,0.3136171070772482,0.00025421383265340357,0.0006786829833320519,0.001724740919823298,0.0004579621191411877,True
8,0.165,0.806,0.676,0.873,0.506,0.16516958416697086,0.8056072232093123,0.675675075962527,0.8730000496992134,0.5064579557021016,0.0004873161174785621,0.0005801727063328864,0.0010277828301263892,0.0003156996847243735,True
5,0.501,0.401,0.392,0.309,0.497,0.5009172282676905,0.4010540348287295,0.39213847626634485,0.30900001938400723,0.4967279945219361,0.00016521303854197172,0.00024011529445126207,0.0005472947244746194,0.00014348071591586777,True
6,0.645,0.322,0.52,0.194,0.228,0.6450171144236891,0.3221504770596884,0.5199086305452139,0.1939999940508987,0.2279457919685761,0.0001757104899733865,0.00018146994611858053,0.00046732006114410895,8.273226331347014e-05,True
10,0.802,0.398,0.101,0.298,0.355,0.8020052576451637,0.3979884963093517,0.10099771911903321,0.29800000033053814,0.3550235213789923,2.2582979869236716e-05,2.4860181460755448e-05,6.625740561213614e-05,1.1986954734156821e-05,True
4,0.803,0.653,0.89,0.707,0.392,0.8030002202860445,0.6529993959108724,0.8899991891533846,0.707000000902605,0.3920007077002159,9.110636128164564e-07,7.834250004829703e-07,1.8053576935560283e-06,5.606714295228393e-07,True
3,0.701,0.842,0.123,0.817,0.414,0.7010000076188454,0.8419996580637757,0.12299967425021387,0.8169999995125768,0.4140001705933282,4.061000287696804e-07,6.955997185214651e-07,2.6483722449709272e-06,2.2458569528308882e-07,True
