Run,True_k01,True_k12,True_k13,True_k14,True_k21,True_k31,True_k41,True_x1,True_x2,True_x3,True_x4,Est_k01,Est_k12,Est_k13,Est_k14,Est_k21,Est_k31,Est_k41,Est_x1,Est_x2,Est_x3,Est_x4,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
5,0.796,0.463,0.361,0.286,0.592,0.126,0.112,0.443,0.154,0.302,0.277,0.796,0.463,7.2015,0.33813,0.592,0.12464,0.27195,0.443,0.154,0.0091381,0.56986,0.010793650793650795,2.05426750446257,18.94875346260388,2.0668878386042495,False
2,0.362,0.705,0.609,0.292,0.228,0.737,0.867,0.467,0.573,0.786,0.466,0.36197,0.70678,0.0045433,0.27769,0.22954,5.2307e-15,1.0478,0.46766,0.57309,2.973e-16,1.2512,0.04900684931506846,0.4496357029110383,1.6849785407725324,0.4447441903013545,False
9,0.875,0.824,0.337,0.894,0.3,0.185,0.861,0.287,0.652,0.147,0.685,0.875,0.824,0.8941,0.3371,0.3,0.86086,0.18511,0.287,0.652,0.68484,0.14717,0.6229306487695748,1.0143889341042167,3.6587755102040815,0.4382449529035725,False
8,0.33,0.665,0.432,0.388,0.763,0.84,0.137,0.286,0.379,0.752,0.888,0.33,0.665,0.53782,0.37346,0.763,0.3778,0.59197,0.286,0.379,0.33384,1.3062,0.037474226804123704,0.47096588241714465,3.3209489051094887,0.26659210424439533,False
7,0.892,0.152,0.727,0.331,0.293,0.63,0.297,0.633,0.514,0.439,0.544,0.892,0.152,0.33821,0.72357,0.293,0.31355,0.617,0.633,0.514,0.54445,0.43855,0.19384191176470594,0.33950804250338007,1.1860120845921451,0.21951369319475267,False
10,0.805,0.318,0.403,0.399,0.699,0.29,0.237,0.459,0.344,0.771,0.29,0.805,0.318,0.40277,0.14573,0.699,0.52655,0.0,0.459,0.344,1.0566,0.0043656,0.0005707196029776872,0.3460360456361864,1.0,0.1756610938357671,False
6,0.303,0.205,0.11,0.192,0.595,0.879,0.892,0.427,0.23,0.611,0.492,0.303,0.205,0.19042,0.11318,0.595,0.84117,0.93086,0.427,0.23,0.48259,0.62041,0.043037542662116075,0.1544885371443951,0.7310909090909091,0.06646901773143499,False
3,0.861,0.561,0.757,0.827,0.752,0.228,0.603,0.419,0.15,0.439,0.307,0.861,0.561,0.75677,0.82431,0.752,0.20517,0.62593,0.419,0.15,0.42471,0.32129,0.0003038309114926717,0.020073922604584505,0.10013157894736849,0.011531344634989855,False
4,0.779,0.127,0.867,0.384,0.385,0.113,0.248,0.421,0.843,0.18,0.856,0.779,0.127,0.86221,0.37842,0.385,0.12573,0.23508,0.421,0.843,0.19149,0.84451,0.005524798154555895,0.023823992739485142,0.11265486725663722,0.007669893918906095,False
1,0.25,0.823,0.535,0.466,0.806,0.467,0.679,0.419,0.823,0.652,0.66,0.25,0.823,0.53457,0.46661,0.806,0.4627,0.68331,0.419,0.823,0.65027,0.66173,0.0008037383177570868,0.0020856923893541024,0.00920770877944331,0.001991091523397512,True
