Run,True_a,True_b,True_x1,True_x2,Est_a,Est_b,Est_x1,Est_x2,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
10,0.282,0.428,0.599,0.81,0.2819943699367258,0.4279742495373028,0.5989919552823219,0.8099699180151991,2.8551508112162857e-05,3.26744738088848e-05,6.016463247010499e-05,2.0398696243113642e-05,True
1,0.535,0.326,0.124,0.668,0.5350126374207778,0.3260236894105133,0.12400144493611212,0.6679924011031739,1.7637028914857756e-05,2.9829138823939908e-05,7.266690341497987e-05,1.3970716228259444e-05,True
5,0.562,0.656,0.638,0.859,0.5620047671136686,0.6560243877491244,0.638005297778468,0.8590014935031993,8.39306833464314e-06,1.392530920557019e-05,3.717644683595768e-05,1.2725807327887752e-05,True
6,0.102,0.618,0.58,0.571,0.1020025892705177,0.6180070524490092,0.580008073121119,0.5710210776165695,1.9652089709359042e-05,2.1907355834856984e-05,3.6913514132318123e-05,1.189414313535929e-05,True
3,0.172,0.425,0.119,0.374,0.1720011256368584,0.42498132022023444,0.1190006625795891,0.37399144296062076,1.4712092388057536e-05,1.9736125865175177e-05,4.395242297776789e-05,1.0293968684092881e-05,True
9,0.454,0.516,0.655,0.173,0.45401082334538057,0.5160028105794423,0.655008340509133,0.17299188347666267,1.8286784764177277e-05,2.2234187195386173e-05,4.6916319868903936e-05,8.069792526936393e-06,True
8,0.508,0.367,0.733,0.178,0.5080086497014527,0.36700208414131885,0.7330015003572197,0.17801036094940392,1.1352915271463531e-05,2.074007088087218e-05,5.8207580920962905e-05,6.869521901019767e-06,True
2,0.106,0.398,0.524,0.838,0.10600565983092775,0.3979884853696627,0.5239994987577383,0.8380000933570944,1.4943900602524225e-05,2.0848459311535597e-05,5.339463139385241e-05,6.420287323944268e-06,True
7,0.87,0.113,0.657,0.751,0.8699918781598974,0.1129985892033761,0.6569925314140687,0.7509961563170475,1.0351579547997998e-05,9.576542864798212e-06,1.2484925875213194e-05,5.88447763652672e-06,True
4,0.598,0.323,0.268,0.193,0.5980000543054177,0.32299775778587214,0.2679989140769999,0.19300206581809864,5.496895449097585e-06,5.44708083796288e-06,1.0703720718341589e-05,1.6184333823553244e-06,True
