Run,True_deltaEL,True_deltaLM,True_deltaNE,True_e,True_m,True_muEE,True_muLE,True_muLL,True_muM,True_muN,True_muP,True_muPE,True_muPL,True_n,True_p,True_rhoE,True_rhoP,True_s,Est_deltaEL,Est_deltaLM,Est_deltaNE,Est_e,Est_m,Est_muEE,Est_muLE,Est_muLL,Est_muM,Est_muN,Est_muP,Est_muPE,Est_muPL,Est_n,Est_p,Est_rhoE,Est_rhoP,Est_s,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
9,0.699,0.823,0.712,0.87,0.293,0.417,0.552,0.247,0.216,0.673,0.49,0.384,0.852,0.568,0.18,0.167,0.542,0.334,0.7053,100.0,0.67149,0.86936,0.18484,0.75506,0.0,0.0,0.0057509,0.67896,0.5804,0.49,2.1308,0.56926,0.18144,1.9067,0.0,0.43879,0.3414446363246203,7.691010972235263,120.50668286755773,23.382805872893787,False
5,0.597,0.562,0.232,0.529,0.684,0.115,0.735,0.279,0.376,0.26,0.842,0.664,0.125,0.591,0.35,0.29,0.847,0.572,0.60768,0.0,0.20214,0.5292,1.2014,0.038951,0.97447,32.272,0.13908,0.26438,0.73152,1.2701,5.5017,0.59011,0.34996,0.2321,2.0766,0.057643,0.47795795339412356,9.156530067137682,114.67025089605733,7.656965527114837,False
4,0.793,0.88,0.678,0.684,0.517,0.778,0.746,0.555,0.426,0.199,0.155,0.658,0.463,0.388,0.143,0.785,0.109,0.237,0.8519,0.0,0.61361,0.68456,0.68217,0.98403,0.0,19.589,0.20632,0.20516,0.14212,0.87084,2.9197,0.38784,0.14336,2.1711,1.6296,0.072117,0.321471400939486,3.3179962332586146,34.29549549549549,4.558820754637157,False
2,0.341,0.628,0.115,0.208,0.556,0.654,0.68,0.501,0.865,0.805,0.615,0.439,0.585,0.443,0.573,0.332,0.594,0.339,0.37778,0.81041,0.12554,0.20766,0.090076,0.19126,0.0,0.13364,7.4885,0.80146,0.3931,0.76498,2.425,0.44344,0.57409,0.2031,3.3631,0.80459,0.5479032644338824,1.2281693794825808,7.657225433526012,1.769753231958186,False
7,0.407,0.571,0.356,0.319,0.249,0.817,0.892,0.274,0.63,0.529,0.311,0.117,0.707,0.798,0.862,0.765,0.603,0.738,0.411,1.117,0.39317,0.31898,0.0,0.58269,1.4323,0.15911,0.39803,0.50479,0.49527,2.7927,1.3029,0.79986,0.86347,0.59259,2.6731,0.98591,0.35206387921022064,1.7832908255676279,22.869230769230768,0.8400020744716448,False
6,0.448,0.349,0.146,0.12,0.644,0.268,0.249,0.855,0.692,0.419,0.492,0.282,0.303,0.244,0.463,0.657,0.402,0.154,0.45809,0.0,0.1359,0.12014,0.66612,0.0,0.0,2.2919,0.62995,0.42178,0.0,1.517,2.4622,0.24385,0.46264,0.61593,0.27641,0.1316,0.11756108775617444,0.9961876992330408,7.126072607260727,0.6981027390999759,False
10,0.801,0.371,0.882,0.853,0.604,0.844,0.636,0.728,0.325,0.113,0.569,0.151,0.489,0.859,0.799,0.869,0.285,0.739,0.7954,0.63834,0.88128,0.85181,0.0,0.86879,1.2125,0.029044,0.52883,0.11374,0.45489,0.82569,0.851,0.85966,0.79914,0.8913,1.8581,1.3425,0.41385702311748,0.8906284340870592,5.519649122807019,0.513051803970667,False
1,0.862,0.458,0.278,0.751,0.805,0.316,0.688,0.87,0.299,0.642,0.561,0.574,0.558,0.338,0.565,0.777,0.66,0.417,0.85682,0.023753,0.25699,0.74798,0.92179,0.61947,0.2359,1.2017,0.3545,0.64771,0.0,1.5193,1.2856,0.3373,0.56539,1.2185,1.193,0.29739,0.33404945009509635,0.4993478439309001,1.6468641114982583,0.3974465179401151,False
3,0.663,0.18,0.745,0.22,0.23,0.623,0.622,0.445,0.817,0.559,0.394,0.449,0.814,0.899,0.592,0.836,0.671,0.795,0.66354,0.0,0.738,0.22076,0.70501,0.61456,1.0277,0.49298,0.20972,0.56186,1.0078,0.35963,0.038893,0.89907,0.59161,0.84045,0.59338,0.31994,0.11174915855925246,0.44607738856892964,2.0652608695652175,0.3342572593036188,False
8,0.44,0.399,0.266,0.791,0.514,0.272,0.858,0.685,0.303,0.65,0.271,0.515,0.121,0.569,0.206,0.471,0.322,0.194,0.43943,0.47105,0.29579,0.79144,0.048244,0.15991,0.94178,0.0,0.72921,0.64581,0.27942,0.29414,0.19725,0.56926,0.20612,0.0,0.0,0.66082,0.29633601466902554,0.5344888722569784,2.4062886597938142,0.2878655826592991,False
